model_id,affinity_code_code_review,affinity_code_debugging,affinity_code_generation,affinity_code_puzzle_or_algorithm,affinity_code_scientific_coding,affinity_instruction_complex_following,affinity_instruction_format_constraint,affinity_multimodal_diagram_understanding,affinity_multimodal_visual_reasoning,affinity_reasoning_competition_math,affinity_reasoning_hard_general,affinity_reasoning_logical_puzzle,affinity_reasoning_long_context,affinity_reasoning_mathematical,affinity_reasoning_scientific,affinity_retrieval_document_extraction,affinity_retrieval_knowledge_qa,affinity_retrieval_repo_code_search,affinity_retrieval_web_search,affinity_safety_constraint_following,affinity_safety_content_moderation,affinity_social_conversation_analysis,affinity_social_negotiation_or_communication,affinity_social_sentiment_analysis,affinity_synthesis_creative_media,affinity_synthesis_creative_writing,affinity_synthesis_data_analysis_report,affinity_synthesis_report_or_summary,affinity_synthesis_structured_data,affinity_tool_use_api_chaining,affinity_tool_use_file_or_system_operation,affinity_tool_use_multi_step_workflow,affinity_tool_use_terminal_agent,total_params_B,active_params_B,moe_density,context_window_k,effective_context_k,context_headroom_ratio,price_blended_per_1M,speed_output_tps,latency_ttft_s,flag_reasoning,flag_thinking,flag_vision,flag_tools,flag_free,wcb_avg_score,wcb_avg_score_nonzero,wcb_zero_rate
nvidia/nemotron-3-super-120b-a12b:free,0.312,0.312,0.344,0.312,0.36,0.714966,0.714966,,,,0.2592,0.276,0.6,,0.668,0.6,0.36,0.456,0.36,0.714966,0.714966,0.36,0.36,0.36,0.36,0.36,0.504,0.6,0.36,0.678363,0.444072,0.561217,0.287879,120.6,12.7,0.105,1000,128,0.128,0.0,150.393,1.076,1,1,0,1,1,,,
deepseek/deepseek-v4-flash,0.387,0.387,0.428333,0.387,0.449,0.791837,0.791837,,,,0.3786,0.393,0.63,,0.7605,0.63,0.465,0.5085,0.465,0.791837,0.791837,0.465,0.465,0.465,0.465,0.465,0.564,0.63,0.465,0.950292,0.593753,0.772023,0.356061,284.0,13.0,0.046,1000,128,0.128,0.175,121.442,0.88,1,1,0,1,0,,,
deepseek/deepseek-v4-pro,0.2375,0.19,0.245833,0.475,0.357143,0.764626,0.764626,,,,0.4214,0.437,0.663333,,0.7716,0.663333,0.515,0.569167,0.515,0.764626,0.764626,0.515,0.515,0.515,0.515,0.515,0.604,0.663333,0.515,0.961988,0.662068,0.812028,0.462121,1600.0,49.0,0.031,1000,256,0.256,0.54375,47.395,1.179,1,1,0,1,0,,,
openai/gpt-oss-120b:free,0.483333,0.708857,0.653714,0.7004,0.572375,0.689796,0.689796,,,0.934292,0.2442,0.259,0.506667,0.934208,0.6641,0.506667,0.333,0.396333,0.333,0.689796,0.689796,0.333,0.333,0.333,0.333,0.333,0.4372,0.506667,0.333,0.657895,0.404067,0.530981,0.234848,120.0,,0.0,128,64,0.5,0.0,359.065,0.508,0,0,0,1,1,,,
google/gemini-3.1-flash-lite,0.301,0.301,0.379667,0.301,0.419,0.772109,0.772109,0.0,0.0,,0.2312,0.2485,0.653333,,0.7011,0.653333,0.335,0.477167,0.335,0.772109,0.772109,0.335,0.335,0.335,0.335,0.335,0.526,0.653333,0.335,0.312865,0.270601,0.291733,0.242424,,,1.0,1000,128,0.128,0.175,284.106,4.925,0,0,1,1,0,,,
tencent/hy3-preview,0.365,0.365,0.396333,0.365,0.412,0.631293,0.631293,,,,0.3206,0.337,0.546667,,0.7305,0.546667,0.419,0.455833,0.419,0.631293,0.631293,0.419,0.419,0.419,0.419,0.419,0.4956,0.546667,0.419,0.926901,0.575306,0.751103,0.340909,295.0,21.0,0.071,256,128,0.5,0.09975,94.111,2.756,1,1,0,1,0,,,
anthropic/claude-sonnet-4.6,0.732,0.7856,0.733667,0.464,0.620714,0.411565,0.411565,1.0,1.0,,0.2568,0.288,0.576667,,0.7,0.830667,0.4776,0.520333,0.4832,0.411565,0.411565,0.444,0.444,0.444,0.444,0.444,0.7618,0.84125,0.7776,0.795322,0.595401,0.695362,0.462121,,,1.0,200,128,0.64,6.0,46.613,1.113,1,1,1,1,0,,,
xiaomi/mimo-v2.5-pro,0.286822,0.253186,0.302489,0.455,0.39247,0.798639,0.798639,,,,0.418,0.438,0.733333,,0.7568,0.733333,0.538,0.594167,0.538,0.798639,0.798639,0.538,0.538,0.538,0.538,0.538,0.6552,0.733333,0.538,0.94152,0.635699,0.78861,0.431818,,,1.0,128,64,0.5,0.54375,44.068,2.312,0,0,0,1,0,,,
moonshotai/kimi-k2.6,0.693127,0.737552,0.71446,0.471,0.643644,0.759864,0.759864,0.567568,0.567568,,0.431,0.449,0.696667,,0.7982,0.278667,0.539,0.583833,0.539,0.759864,0.759864,0.539,0.539,0.539,0.539,0.539,0.3168,0.26125,0.2156,0.959064,0.647262,0.803163,0.439394,,,1.0,128,64,0.5,1.368,39.857,1.326,1,0,0,1,0,,,
openai/gpt-4o-mini,0.234,0.234,0.232333,0.234,0.230875,0.309524,0.309524,,,0.146767,0.0744,0.083,,0.403567,0.3669,,0.126,,0.126,0.309524,0.309524,0.126,0.126,0.126,0.126,0.126,0.126,,0.126,,,,,,,1.0,128,64,0.5,0.2625,68.265,0.58,0,0,1,1,0,,,
